moment,reaction,offensiveness,responsibility
3,12,-1.464101615,2.062996063
3,13,0.850059953,0.80910977
3,14,-0.75,-1.5
3,15,0.006256115,-0.34520788
3,16,5.585786438,0.188447187
3,17,-0.160246899,0.390873649
3,18,-1.977708764,3.566819575
3,19,-0.544393475,7.161121362
3,20,-1.220084679,0.446581987
3,21,0.354248689,0.291987198
3,22,1.692936902,1.174772944
3,23,0.966849822,1.621717208
3,24,-0.901351105,0.704554885
3,25,-0.138091195,-1.098386677
3,26,0.528575471,1.601075549
3,27,0,0.047605285
3,28,-0.741640786,1.719027942
3,29,1.585786438,-0.238612788
3,30,0.833427073,0.998677588
3,31,-1.449590136,7.585786438
3,32,0.839753101,-0.077350269
3,33,0.535065228000001,-0.244016936
3,34,2.985376771,-0.715685871
3,35,0.259824575,0.41886117
3,36,-1.863961031,0.378679656
3,37,0.698837366,0.991681084
3,38,-0.537325848,-0.241581623
3,39,1.047605285,-0.649944071
3,40,-0.642969449,1.535898385
3,41,0.607517707,-0.645751311
3,42,4.023932256,1
3,43,1.240673131,-0.494427191
3,44,1.453939434,-1
3,45,0.71002008,0.759629651
3,46,1.445962066,-0.160246899
3,47,-0.241225363,-0.830116592
3,48,-0.256510528000001,-0.83166625
3,49,3.917792999,-0.988854382
3,50,0.550510257,-0.75
3,51,-0.31662479,-0.763705936
3,52,0,0.953083494
3,53,0.425597173,0.174258142
3,54,-0.311552813,1.627016654
3,55,0.025112615,-0.741657387
3,56,1.307150161,-0.367948339
3,57,0.506419768,1.521737544
3,58,-0.061935286,0.177288111
3,59,0.350409864,1.025112615
3,60,4.892543116,-0.335711861
3,61,-0.247213595,0.307150161
3,62,1.425597173,0.425597173
3,63,0.332051661,-0.370828693
3,64,-1.5,1.613248654
3,65,-0.976067744,0
3,66,-0.915475947,0
3,67,-0.609126351,4.887092187
3,68,2.067347009,-0.143167673
3,69,-0.503840481,-0.3144823
3,70,0.486243464,5.784632779
3,71,-0.530509793,-0.398411567
3,72,-0.976067744,4.755983064
3,73,1.722746378,0.861908805
