moment,reaction,offensiveness,responsibility
9,35,-0.69,3.5
9,36,2.41,0.1
9,37,-0.25,-0.1
9,38,-0.91,2.06
9,39,-0.02,-0.51
9,40,2.34,-0.34
9,41,0.61,1.74
9,42,0.68,3.55
9,43,1.18,4.2
9,44,0.99,0.63
9,45,-0.02,1.15
9,46,0.5,1.24
9,47,-0.47,3.65
9,48,-0.27,0.68
9,49,0.18,5.41
10,0,0.8,-0.77
10,1,3.41,-0.35
10,2,-0.34,-0.15
10,3,-0.24,2.74
10,4,3.28,-1.1
10,5,-0.34,0.28
10,6,-0.36,0.46
10,7,1.19,-0.96
10,8,-0.35,-0.84
10,9,1.52,-0.24
10,10,-0.45,4.1
10,11,-0.07,-0.67
10,12,0.78,-0.67
10,13,0,1.88
10,14,2.06,0.24
10,15,-0.48,-0.2
10,16,-0.34,-0.16
10,17,-0.96,-0.07
10,18,-0.22,-0.26
10,19,0.6,-0.91
10,20,-0.98,4.4
10,21,-0.35,0.19
10,22,1.91,-0.63
10,23,1.09,-0.32
10,24,0.44,0.13
10,25,-0.57,-1.1
10,26,-0.71,5.74
10,27,1.81,-0.24
10,28,0.7,-0.48
10,29,-0.67,1.97
10,30,-0.13,0.02
10,31,0.93,1.46
10,32,-0.67,0.51
10,33,-0.55,-0.01
10,34,2.3,-0.35
10,35,0.89,1.81
10,36,1,-0.74
10,37,0.53,-1.2
10,38,-1.43,5.35
10,39,-0.77,-1.06
10,40,0.05,2.17
10,41,-0.06,2.28
10,42,0.6,1.05
10,43,-0.09,1.97
10,44,-0.73,-0.29
10,45,-0.46,2.08
10,46,-0.19,1.59
10,47,0.16,3.35
10,48,0.28,2.7
10,49,-0.29,2.28
11,0,0.65,-0.27
11,1,0.45,-1.15
11,2,0.61,0.79
11,3,0.1,0.59
11,4,-0.1,-0.75
11,5,-0.68,1.34
11,6,1.03,-0.16
11,7,1.52,-0.63
11,8,1.62,-0.9
11,9,1.2,-1.11
11,10,-0.68,3.54
11,11,0.57,-0.13
11,12,0.99,-0.41
11,13,0.56,0.31
11,14,1.05,-0.27
11,15,-0.1,-0.26
11,16,1.44,-0.23
11,17,-1.02,-0.53
11,18,1.02,-0.95
11,19,0.28,-0.07
11,20,-0.52,-0.63
11,21,-0.92,0.38
11,22,1.75,-0.3
11,23,0.56,-0.83
11,24,0,-0.37
11,25,0.13,-0.26
11,26,0.14,1.81
11,27,0.1,-0.19
11,28,0.48,0.01
11,29,-0.58,-0.59
11,30,-0.05,-0.43
11,31,-0.01,0.69
11,32,0.49,0.48
11,33,-0.39,1.01
11,34,0.92,0.09
11,35,0.01,0.89
11,36,1.86,-0.59
11,37,-0.24,-0.72
11,38,0.3,1.28
11,39,0.93,-0.09
11,40,0.51,-0.17
11,41,0.77,1.35
11,42,0.1,-0.25
11,43,-0.51,0.16
11,44,1.26,4.33
11,45,0.19,0.38
11,46,0.46,1.66
11,47,1,0.47
11,48,0.16,0.91
11,49,-0.35,0.3
12,0,2.63,-0.53
12,1,2.23,-0.06
12,2,2.71,0.06
12,3,0.49,1.59
12,4,0.15,0.09
12,5,-0.22,0.23
12,6,-0.59,0.41
12,7,0.39,-0.64
12,8,0.66,-0.54
12,9,1.78,0.71
12,10,0.29,3.87
12,11,0.82,-0.18
12,12,1.92,-0.52
12,13,3.05,0.41
12,14,2.05,-0.03
12,15,0.63,0.31
12,16,-0.24,-0.7
12,17,1.14,-0.78
12,18,1.31,-0.36
12,19,-0.07,-0.08
12,20,0.81,0.4
12,21,0.4,0.02
12,22,0.87,-1.45
12,23,3.51,0.97
12,24,1.03,0.83
12,25,0.27,-0.67
12,26,0.51,2.14
12,27,1.92,1.85
12,28,0.85,-0.72
12,29,-0.16,0.21
12,30,0.72,0.55
12,31,1.08,0.01
12,32,-0.46,-0.28
12,33,1.21,0.06
12,34,1.81,-0.1
12,35,-1.2,5.06
12,36,0.26,-0.66
12,37,2.68,-0.43
12,38,-0.19,0.59
12,39,0.03,0.29
12,40,1.54,0.02
12,41,0.96,2
12,42,1.09,3.15
12,43,0.93,0.18
12,44,0.42,2.32
12,45,0.69,1.07
12,46,1.17,0.49
12,47,1.47,2.65
12,48,0.37,0.77
12,49,0.57,1.19
13,0,0.81,-0.24
13,1,4.22,-0.55
13,2,1.01,0.67
13,3,0.46,1.36
13,4,2.7,-1.15
13,5,-0.1,2.17
13,6,-0.45,0.3
13,7,1.18,-0.22
13,8,2.9,-0.86
13,9,3.1,-0.78
13,10,1.38,0.15
13,11,1.08,-0.53
13,12,3.25,-0.59
13,13,0.87,0.34
13,14,1.87,0.61
13,15,1.05,1.55
13,16,0.98,0.07
13,17,1.19,-0.41
13,18,3.8,-0.27
13,19,0.73,-0.64
13,20,2.27,0.27
13,21,0.65,-0.33
13,22,4.11,-0.19
13,23,2.79,-0.73
